Sample,Cohort,Period,Signature,Mean,Lower,Upper
b752b444-f033-4be4-9d24-e5e80b4181af,PCAWG,NA,SBS3,338.86980185213724,237.32848163461145,409.4501573226564
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,NA,SBS1,49.8625844330634,31.112359257603043,70.45007531795598
71fda5a9-7049-406f-9348-2c24f7ddf5f4,PCAWG,NA,SBS3,637.2229593657875,455.26351565294294,813.1104999436382
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,NA,SBS1,56.683173785863985,35.772360857244784,76.31207013406096
6e839eaf-1dbb-43f5-8846-c980e05540c7,PCAWG,NA,SBS3,714.582935722204,547.8064417392003,876.0759252925968
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,NA,SBS1,28.052899786006584,14.15710091399784,42.933555213591944
d8fbb398-d1da-4444-984a-22c8523625da,PCAWG,NA,SBS3,679.7674175687315,495.2288183133882,857.2736663247077
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,NA,SBS1,64.01957859107951,42.66514248394792,84.90696770765881
7b08e810-f3c9-4155-ac11-f45a3a4f8b41,PCAWG,NA,SBS3,930.3638729040022,699.7601577972133,1164.8584908118569
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,NA,SBS1,6.818190489175431,0.0,14.614821003604503
418e916b-7a4e-4fab-8616-15dcec4d79f8,PCAWG,NA,SBS3,91.30682467461622,31.62052843852038,147.1712107143394
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,NA,SBS1,19.651806731097253,8.138560560992087,31.4939430268508
6c8e9197-fd16-4fed-bfda-e349cab26314,PCAWG,NA,SBS3,301.30028012507336,199.92011178596903,429.02150833036546
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,NA,SBS1,23.16751186564341,12.236564799662444,37.00109934398939
207f8a42-5b05-4876-b0ae-ebfaeea27844,PCAWG,NA,SBS3,407.99879730340007,301.8784979769898,496.5259926491304
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,NA,SBS1,41.28643362797207,24.54862990299325,58.69238325304451
110b5f05-ded7-45ec-b0f6-a941c92d77dd,PCAWG,NA,SBS3,804.5802972061538,688.3155005214851,943.8031576657847
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,NA,SBS1,21.5722753472999,0.0,38.38963858502147
987528ac-437a-4eb8-a335-4f2076d5c006,PCAWG,NA,SBS3,580.9419805907387,424.481284778078,756.1073004746082
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,NA,SBS1,44.76518296604434,26.8194752744724,66.44199817509082
ea43434b-197e-48ac-ae2e-46bc7f3776de,PCAWG,NA,SBS3,1446.5577050035627,1160.1501946347357,1676.4131365923497
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,NA,SBS1,34.20664891223517,21.006178367633296,48.509318677189064
43f7a2e0-fec9-4e43-872d-18c6c946fa17,PCAWG,NA,SBS3,38.04879434323293,0.0,96.26924985431313
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,NA,SBS1,69.94662659725738,48.52431638351712,92.96236427129445
eddfbfb9-3ae8-449b-b870-46062a2571c1,PCAWG,NA,SBS3,521.7954396786679,341.3901722935407,692.8523120940337
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,NA,SBS1,14.74806760360961,4.0662776922244595,24.165288258154465
d5372745-95cf-4572-a6e7-e7f5b796911a,PCAWG,NA,SBS3,143.14740467773387,57.62268327268625,217.08092293706665
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,NA,SBS1,75.39492725871959,52.23524253138954,99.54357560800631
5dbf3203-ce73-41e4-bf9a-32fc856f73f5,PCAWG,NA,SBS3,1016.7369679066278,804.8226667729242,1206.2102303016632
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,NA,SBS1,85.33902949002437,64.73670859510977,106.76899916479938
7456abd5-303e-4e6f-bf4e-47efefc7310f,PCAWG,NA,SBS3,336.5162426808274,217.43642214497285,435.15473538133676
PD31044a,SCANB,Early,SBS1,21.936112480517437,9.10360389113691,34.77876970709182
PD31044a,SCANB,Early,SBS3,225.6320820232525,97.08667370261342,349.53388722957146
PD31051a,SCANB,Early,SBS1,11.345367555420774,5.319758189992444,17.815566668209765
PD31051a,SCANB,Early,SBS3,41.88005843519668,0.0,79.90459501992858
PD31056a,SCANB,Early,SBS1,1.4457588366268204,0.0,4.226483686377238
PD31056a,SCANB,Early,SBS3,6.658021729463899,0.0,34.49357425471932
PD31059a,SCANB,Early,SBS1,15.363862302793976,5.869955895324131,25.708976458331588
PD31059a,SCANB,Early,SBS3,217.51422361225542,145.6505869667196,284.30251442659
PD31068a,SCANB,Early,SBS1,27.274697740271534,14.322978644421818,41.56636709737326
PD31068a,SCANB,Early,SBS3,214.08442827938893,141.00284934199613,274.91091870334566
PD31074a,SCANB,Early,SBS1,78.15153137980464,56.874633283479106,101.97861577736147
PD31074a,SCANB,Early,SBS3,1207.8670986751335,1059.8460940109373,1395.2125446264072
PD31092a,SCANB,Early,SBS1,130.8238891469542,102.14382569653367,158.53226118182664
PD31092a,SCANB,Early,SBS3,1276.6655879554337,1071.4422405632897,1475.179730027704
PD31097a,SCANB,Early,SBS1,247.0694561787766,209.19894688408394,286.97702965356007
PD31097a,SCANB,Early,SBS3,1504.037546553939,1264.3263560657767,1761.1553746380146
